기준년도,시군명,지역교육청명,지역명,학교명,학교급명,설립구분명,제외여부,제외사유,초등1학년전입학생수(명),초등1학년전출학생수(명),초등1학년전체학생수(명),초등2학년전입학생수(명),초등2학년전출학생수(명),초등2학년전체학생수(명),초등3학년전입학생수(명),초등3학년전출학생수(명),초등3학년전체학생수(명),초등4학년전입학생수(명),초등4학년전출학생수(명),초등4학년전체학생수(명),초등5학년전입학생수(명),초등5학년전출학생수(명),초등5학년전체학생수(명),초등6학년전입학생수(명),초등6학년전출학생수(명),초등6학년전체학생수(명),중등1학년전입학생수(명),중등1학년전출학생수(명),중등1학년전체학생수(명),중등2학년전입학생수(명),중등2학년전출학생수(명),중등2학년전체학생수(명),중등3학년전입학생수(명),중등3학년전출학생수(명),중등3학년전체학생수(명),고등1학년전입학생수(명),고등1학년전출학생수(명),고등1학년전체학생수(명),고등2학년전입학생수(명),고등2학년전출학생수(명),고등2학년전체학생수(명),고등3학년전입학생수(명),고등3학년전출학생수(명),고등3학년전체학생수(명),전입학생수합계(명),전출학생수합계(명),전체학생수합계(명)
2020,오산시,경기도교육청,경기도 오산시,성심학교,,사립,N,,0,0,6,1,1,6,0,0,5,0,0,6,0,0,6,0,0,6,1,0,12,2,1,7,0,1,10,0,0,9,0,0,14,0,0,14,4,3,101
2020,용인시,경기도교육청,경기도 용인시 기흥구,용인강남학교,,사립,N,,0,0,12,0,0,12,0,0,12,2,2,10,0,0,12,0,0,12,0,0,12,0,0,12,1,0,11,0,0,11,1,0,13,0,1,14,4,3,143
2020,의정부시,경기도교육청,경기도 의정부시,송민학교,,공립,N,,2,0,11,0,0,12,0,0,8,0,0,11,1,1,9,1,1,11,0,0,12,0,1,16,0,3,14,0,0,13,0,4,13,0,0,14,4,10,144
2020,의정부시,경기도교육청,경기도 의정부시,희망학교,,사립,Y,본교는 유아특수학교로 해당항목에 대해 통계자료가 없으므로 제외함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,이천시,경기도교육청,경기도 이천시,다원학교,,공립,N,,0,1,12,0,0,10,0,1,11,0,2,12,0,0,11,0,0,5,0,0,12,0,1,10,0,0,5,1,1,12,0,0,8,0,0,9,1,6,117
2020,파주시,경기도교육청,경기도 파주시,자운학교,,공립,N,,2,0,12,1,1,12,0,0,9,1,0,13,1,1,10,1,0,10,0,0,12,1,1,12,0,0,10,0,0,13,0,0,13,0,0,13,7,3,139
2020,파주시,경기도교육청,경기도 파주시,새얼학교,,사립,N,,0,0,8,2,1,5,2,0,10,2,2,12,2,0,8,3,0,9,0,0,4,0,0,10,2,2,9,1,0,10,0,2,13,0,0,13,14,7,111
2020,평택시,경기도교육청,경기도 평택시,동방학교,,사립,N,,0,0,12,0,0,12,0,0,12,0,0,12,1,0,12,0,0,11,0,0,12,0,0,12,0,0,13,0,0,10,0,0,14,0,0,14,1,0,146
2020,평택시,경기도교육청,경기도 평택시,에바다학교,,사립,N,,0,0,6,1,1,5,1,0,5,0,0,6,1,0,5,0,0,6,0,0,8,0,1,8,0,1,5,0,1,7,0,0,7,0,0,11,3,4,79
2020,하남시,경기도교육청,경기도 하남시,성광학교,,사립,N,,0,0,5,1,0,12,0,0,4,1,0,4,2,0,8,1,0,4,0,0,12,1,1,12,0,2,12,0,2,14,0,0,10,0,0,13,6,5,110
2020,화성시,경기도교육청,경기도 화성시,한우리학교,,사립,Y,유치부만 있고 교무학사 시스템을 사용하지 못해 자료가 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,화성시,경기도교육청,경기도 화성시,해원학교,,사립,N,,0,0,6,1,0,5,0,0,6,0,0,6,0,0,6,0,0,4,0,0,6,0,0,6,0,0,5,3,0,5,0,0,7,0,0,7,4,0,69
2020,화성시,경기도교육청,경기도 화성시,화성나래학교,,공립,N,,0,0,12,0,0,12,1,1,12,0,0,12,1,1,12,0,0,12,1,0,14,0,0,18,0,1,18,0,1,22,1,0,14,0,0,7,4,4,165
2019,고양시,경기도교육청,경기도 고양시 일산서구,홀트학교,,사립,N,,0,1,12,0,0,11,0,0,12,0,0,12,0,0,12,0,0,12,0,0,14,0,0,14,0,0,13,0,0,14,0,2,10,0,1,14,0,4,150
2019,고양시,경기도교육청,경기도 고양시 일산서구,홀트학교,,사립,N,,0,1,12,0,0,11,0,0,12,0,0,12,0,0,12,0,0,12,0,0,14,0,0,14,0,0,13,0,0,14,0,2,10,0,1,14,0,4,150
2019,고양시,경기도교육청,경기도 고양시 일산서구,밝은학교,,사립,Y,유치부 및 전공과 학생은 정보공시 학생 수 관련 입력에 불포함.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,고양시,경기도교육청,경기도 고양시 덕양구,명현학교,,사립,N,,0,0,12,1,0,11,2,0,7,4,0,10,5,0,10,1,1,12,0,0,7,2,0,12,0,0,12,0,0,8,0,0,13,0,1,13,15,2,127
2019,고양시,교육부,경기도 고양시 일산동구,한국경진학교,,국립,N,,0,0,12,0,1,12,2,1,12,0,0,12,1,2,12,0,0,12,0,0,14,0,0,12,0,0,12,0,0,14,1,0,0,0,0,0,4,4,124
2019,고양시,경기도교육청,경기도 고양시 덕양구,명현학교,,사립,N,,0,0,12,1,0,11,2,0,7,4,0,10,5,0,10,1,1,12,0,0,7,2,0,12,0,0,12,0,0,8,0,0,13,0,1,13,15,2,127
2019,고양시,교육부,경기도 고양시 일산동구,한국경진학교,,국립,N,,0,0,12,0,1,12,2,1,12,0,0,12,1,2,12,0,0,12,0,0,14,0,0,12,0,0,12,0,0,14,1,0,0,0,0,0,4,4,124
2019,고양시,경기도교육청,경기도 고양시 일산서구,밝은학교,,사립,Y,유치부 및 전공과 학생은 정보공시 학생 수 관련 입력에 불포함.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,광주시,경기도교육청,경기도 광주시,동현학교,,사립,N,,0,1,6,4,0,5,0,0,2,0,1,3,2,0,1,0,0,2,0,0,1,1,0,5,1,0,6,0,0,4,2,0,5,0,0,4,10,2,44
2019,광주시,경기도교육청,경기도 광주시,광주새롬학교,,사립,N,,0,0,7,0,0,5,0,0,5,1,0,4,0,0,1,0,0,1,0,0,1,0,0,2,0,0,7,0,0,5,0,0,6,0,0,5,1,0,49
2019,광주시,경기도교육청,경기도 광주시,한사랑학교,,사립,N,,0,5,11,1,2,12,0,1,8,0,0,8,0,1,8,0,0,6,0,1,6,0,0,6,0,0,2,0,0,4,0,0,4,0,0,3,1,10,78
2019,광주시,경기도교육청,경기도 광주시,인덕학교,,사립,N,,0,0,6,0,0,6,1,0,6,0,0,6,0,0,7,1,1,7,0,0,8,0,2,12,0,0,11,0,0,8,2,1,11,1,0,11,5,4,99
2019,광주시,경기도교육청,경기도 광주시,한사랑학교,,사립,N,,0,5,11,1,2,12,0,1,8,0,0,8,0,1,8,0,0,6,0,1,6,0,0,6,0,0,2,0,0,4,0,0,4,0,0,3,1,10,78
2019,광주시,경기도교육청,경기도 광주시,동현학교,,사립,N,,0,1,6,4,0,5,0,0,2,0,1,3,2,0,1,0,0,2,0,0,1,1,0,5,1,0,6,0,0,4,2,0,5,0,0,4,10,2,44
2019,광주시,경기도교육청,경기도 광주시,인덕학교,,사립,N,,0,0,6,0,0,6,1,0,6,0,0,6,0,0,7,1,1,7,0,0,8,0,2,12,0,0,11,0,0,8,2,1,11,1,0,11,5,4,99
2019,광주시,경기도교육청,경기도 광주시,광주새롬학교,,사립,N,,0,0,7,0,0,5,0,0,5,1,0,4,0,0,1,0,0,1,0,0,1,0,0,2,0,0,7,0,0,5,0,0,6,0,0,5,1,0,49
2019,김포시,경기도교육청,경기도 김포시,새솔학교,,공립,N,,0,0,6,1,1,5,0,0,6,0,0,6,0,0,6,0,0,6,0,2,15,0,0,18,1,0,17,0,1,14,3,2,21,0,0,13,5,6,133
2019,김포시,경기도교육청,경기도 김포시,새솔학교,,공립,N,,0,0,6,1,1,5,0,0,6,0,0,6,0,0,6,0,0,6,0,2,15,0,0,18,1,0,17,0,1,14,3,2,21,0,0,13,5,6,133
2019,남양주시,경기도교육청,경기도 남양주시,경은학교,,공립,N,,0,1,13,1,1,12,0,0,12,1,0,11,0,0,12,1,1,12,0,0,12,0,1,12,0,0,13,0,1,11,0,0,17,0,1,13,3,6,150
